code_etb,wilaya
B01,CONSTANTINE
B02,BORDJ BOU ARRERIDJ
B03,BEJAIA
B04,BOUIRA
B05,MOSTAGANEM
B06,DJELFA
B07,LAGHOUAT
B08,CONSTANTINE
B09,CONSTANTINE
B10,AIN DEFLA
B11,MASCARA
B12,MEDEA
B13,CONSTANTINE
B14,MOSTAGANEM
B15,SIDI BEL ABBES
B16,CONSTANTINE
B17,TIARET
B18,MOSTAGANEM
B19,TIZI OUZOU
B20,TLEMCEN
B21,SOUK AHRAS
B22,OUARGLA
B23,CONSTANTINE
B24,BISKRA
B25,BLIDA
B28,CONSTANTINE
B29,MOSTAGANEM
B30,MSILA
B31,ORAN
B32,OUARGLA
B33,SETIF
B34,SKIKDA
B35,BECHAR
B36,AIN TEMOUCHENT
B37,BECHAR
B38,BOUMERDES
B39,OUM EL BOUAGHI
B40,TAMANRASSET
B41,TIPAZA
B42,SAIDA
B44,ORAN
B45,CONSTANTINE
B46,BLIDA
B48,ALGER
B49,MEDEA
B50,LAGHOUAT
B51,BATNA
B52,BLIDA
B53,ALGER
B54,CONSTANTINE
C01,ALGER
C02,ALGER
C03,TIPAZA
C04,TIPAZA
C05,ALGER
C06,ALGER
C09,ALGER
C10,ALGER
C11,ALGER
C14,TIZI OUZOU
C16,CHLEF
C17,MEDEA
C18,LAGHOUAT
C19,BEJAIA
C21,DJELFA
C26,ALGER
C27,BOUMERDES
C30,AIN DEFLA
C31,TAMANRASSET
C32,GHARDAIA
C35,ALGER
C36,ALGER
C37,ALGER
C38,TIPAZA
C39,BLIDA
C40,BLIDA
C41,ILLIZI
C42,LAGHOUAT
C43,LAGHOUAT
C45,TIPAZA
C47,BLIDA
C48,BOUIRA
D01,ALGER
D02,ALGER
D04,TIPAZA
E01,CONSTANTINE
E02,EL TARF
E04,ANNABA
E07,SETIF
E08,BATNA
E09,OUM EL BOUAGHI
E11,JIJEL
E12,TEBESSA
E13,BISKRA
E14,MSILA
E15,GUELMA
E16,SKIKDA
E17,OUARGLA
E18,CONSTANTINE
E22,CONSTANTINE
E23,BORDJ BOU ARRERIDJ
E24,KHENCHELA
E25,EL OUED
E26,SOUK AHRAS
E27,BOUIRA
E28,MILA
E30,SKIKDA
E33,CONSTANTINE
E34,CONSTANTINE
E35,SETIF
E37,CONSTANTINE
E39,BATNA
E41,OUARGLA
E42,SETIF
E44,BATNA
E45,BATNA
E46,CONSTANTINE
E47,CONSTANTINE
E48,MSILA
E49,OUARGLA
E50,OUM EL BOUAGHI
E52,BATNA
E53,CONSTANTINE
F20,ALGER
F21,CONSTANTINE
F22,ALGER
H15,BLIDA
P03,ALGER
P04,ALGER
P05,ALGER
P06,CONSTANTINE
P07,ALGER
P08,ALGER
P09,ALGER
P10,ALGER
P11,ALGER
P12,ANNABA
P13,TLEMCEN
P14,ORAN
P22,CONSTANTINE
P23,ANNABA
P24,TLEMCEN
P25,ORAN
P27,ORAN
P42,SIDI BEL ABBES
P71,ALGER
P72,MOSTAGANEM
P73,ADRAR
P74,EL OUED
P81,ORAN
R01,ADRAR
R02,AIN DEFLA
R03,ALGER
R04,BATNA
R05,BECHAR
R06,BEJAIA
R07,BISKRA
R08,BLIDA
R09,BOUIRA
R10,CONSTANTINE
R11,JIJEL
R12,MASCARA
R13,MEDEA
R14,MOSTAGANEM
R15,MSILA
R16,ORAN
R17,ORAN
R18,OUARGLA
R19,SAIDA
R20,SETIF
R21,SIDI BEL ABBES
R22,SKIKDA
R23,TEBESSA
R24,TIARET
R25,ANNABA
R26,TIZI OUZOU
R27,TLEMCEN
U02,ORAN
U04,ORAN
U06,TLEMCEN
U07,SIDI BEL ABBES
U08,MOSTAGANEM
U09,SAIDA
U10,TIARET
U11,BECHAR
U12,ADRAR
U13,MASCARA
U14,TIARET
U21,TISSEMSILT
U22,AIN TEMOUCHENT
U23,RELIZANE
U25,NAAMA
U26,EL BAYADH
U27,TINDOUF
U28,MOSTAGANEM
U30,ORAN
U31,ORAN
U32,TIARET
U41,TIARET
U44,BECHAR
U46,TIARET
U47,TLEMCEN
U48,TLEMCEN
U49,ORAN
U50,SAIDA
W80,BOUMERDES
W82,SKIKDA
W83,TIPAZA
W90,ORAN
W91,KHENCHELA
W92,BATNA
W93,BEJAIA
Z01,BEJAIA
Z02,BLIDA
Z03,DJELFA
Z04,TAMANRASSET
Z05,OUM EL BOUAGHI
Z06,BATNA
Z07,BISKRA
Z08,TEBESSA
Z09,JIJEL
Z10,ANNABA
Z11,EL OUED
Z12,KHENCHELA
Z13,SOUK AHRAS
Z14,MILA
Z15,ADRAR
Z16,BECHAR
Z17,TLEMCEN
Z18,TIARET
Z19,TISSEMSILT
Z20,SAIDA
Z21,MOSTAGANEM
Z22,MASCARA
Z23,ORAN
Z24,TINDOUF
Z25,NAAMA
Z26,RELIZANE
Z27,SIDI BEL ABBES
Z28,ILLIZI
Z29,EL BAYADH
Z30,GUELMA
Z31,SETIF
Z32,OUARGLA
Z33,AIN TEMOUCHENT
Z35,BOUIRA
Z36,AIN DEFLA
Z37,MEDEA
Z38,CONSTANTINE
Z39,TIZI OUZOU
Z40,BOUMERDES
Z41,GHARDAIA
Z42,LAGHOUAT
Z43,SKIKDA
Z44,MSILA
Z45,EL TARF
Z46,CHLEF
Z47,BORDJ BOU ARRERIDJ
Z48,TOUGGOURT
Z49,TIPAZA
Z50,AIN DEFLA
Z51,ALGER
Z52,ALGER
Z53,ALGER
Z54,ALGER
Z55,ALGER
